tId,dataPullType,FromZone,ToZone,DataSize,TotalDuration,TriggerStepClientDuration,TriggerStepServerDuration,DataPullDuration,DataPushDuration,ComputeDuration,DataMasterPullCall,DataPeerPullCall,DataMasterPushCall
Tz2EQOWNpUS82PogM0Yx3g==,remote,edge2,edge2,10485760,3402,3402,3380,143,40,3166,25,142,31
jRKEwWTAY0WiGjw7kxrgwg==,none,null,null,0,0,0,0,0,0,0,0,0,0
IAjcoYX6vkGfc0iFogi0zw==,remote,edge2,cloud1,10485760,6200,6199,6117,1189,101,4739,95,1185,93
aP/1d4NP/ECo8piY9W87OA==,local,null,null,0,5619,5618,5600,5,53,5512,0,4,33
BD9yCIPcOUCcDkLNhublzg==,local,null,null,0,6363,6362,6343,18,858,5443,0,9,30
xr24hCPFO0Sk49HsPa46Lg==,none,null,null,0,0,0,0,0,0,0,0,0,0
cZlEZqkk8UqKn7tiq+Mj1A==,none,null,null,0,0,0,0,0,0,0,0,0,0
0ArdTt9fQ0uQOmb0zrxxFQ==,local,null,null,0,2602,2601,2600,4,12,2580,0,3,6
0/vLVV9FrEy4YW5swcKeyQ==,local,null,null,0,9167,9166,9165,107,76,8877,0,92,15
vKAvEXALhUa1llsgO6l0Ig==,remote,edge1,cloud1,10485760,6042,6040,5957,1256,106,4506,95,1255,89
3Cy6ig1uak28urBxngBMJw==,none,null,null,0,1,0,0,0,0,0,0,0,0
f4MzJFipq0Sz2gx5meCt+Q==,local,null,null,0,5181,5180,5174,25,58,5065,0,17,12
/bYcoBCZpUaPPgMO7WK+kQ==,local,null,null,0,2574,2574,2573,4,13,2551,0,2,8
lKvE7zeRrEqmeXQ6opRkdA==,local,null,null,0,2605,2604,2603,4,15,2580,0,3,8
ZTyr0paY5k2YARvHD/BYIA==,remote,edge2,edge2,10485760,3494,3493,3476,155,46,3252,22,153,35
eN5o5frTWkq4YNZwhIhePQ==,remote,edge2,cloud1,10485760,5947,5946,5863,1198,101,4475,94,1193,93
Y2dySrcugkGDN4c7YR6SYw==,remote,edge1,cloud1,10485760,4856,4855,4774,1187,97,3401,89,1185,90
FMgMiv8DVk2FMRN93UMLNA==,local,null,null,0,3541,3540,3523,12,35,3452,0,3,27
GbluHnFpUUOQ8zL48Kj1kg==,local,null,null,0,6261,6259,6181,81,46,6010,0,64,21
7Pg0zDdtykufj486dDw86A==,local,null,null,0,5711,5709,5650,21,35,5560,0,11,26
FzzH9qUplES8xb8Fe66T0w==,remote,edge2,cloud1,10485760,5767,5766,5685,1758,95,3743,87,1757,85
njsTd1lCZUq6ManOSzdwmA==,none,null,null,0,0,0,0,0,0,0,0,0,0
56w5FmQxH0+/NWSBOjhazg==,local,null,null,0,4395,4393,4388,37,46,4253,0,28,10
KNrc08R0fUGdrmJ+9C1P8A==,remote,edge2,cloud1,10485760,6215,6214,6131,1198,99,4747,91,1196,89
iM5bzQg16U6tCAven1n6VQ==,local,null,null,0,4950,4949,4940,35,26,4852,0,26,10
CxYENasGQ0SVU+0lyFjhzQ==,remote,edge2,edge2,10485760,3299,3298,3281,137,31,3092,25,136,24
