tId,dataPullType,FromZone,ToZone,DataSize,TotalDuration,TriggerStepClientDuration,TriggerStepServerDuration,DataPullDuration,DataPushDuration,ComputeDuration,DataMasterPullCall,DataPeerPullCall,DataMasterPushCall
qARbvkRwrUun1dgFMevcxg==,none,null,null,0,0,0,0,0,0,0,0,0,0
UloANOOuZ0CKc02kr3wVSw==,remote,edge1,cloud1,10485760,5170,5168,5085,1845,100,3053,98,1843,93
FysVWPHwKkKRnILJ8Gv+NQ==,local,null,null,0,2759,2758,2757,3,16,2733,0,2,9
pevzEHAQ8kSLyVJTrluLwQ==,none,null,null,0,0,0,0,0,0,0,0,0,0
0U9X5dx78keHhhszE5ubzA==,local,null,null,0,3169,3168,3152,4,32,3093,0,5,25
Nhtu9sgk6kCV96q5fCzMAw==,local,null,null,0,5069,5068,5060,63,18,4929,0,41,3
+Hq8WKeuA0OlkI6K7PL1yg==,none,null,null,0,0,0,0,0,0,0,0,0,0
GftSF2twhkmBfO+HsuzG6A==,local,null,null,0,2562,2561,2561,3,22,2532,0,3,14
EbFImSY0UEuCDbEyzBimoQ==,none,null,null,0,0,0,0,0,0,0,0,0,0
Dp51Dg7KWk+dfx4gC+4ALA==,local,null,null,0,5104,5103,5103,21,83,4959,0,17,17
w4Dl13yjukyxHwqyiCr6Jw==,local,null,null,0,3652,3651,3647,6,38,3563,0,5,17
7OBZ+VrVV0ev55WyAQ0T6w==,remote,edge1,cloud1,10485760,4761,4761,4679,1174,99,3320,89,1173,90
thsXVbYXuU6+EDt7xfL3tA==,remote,edge2,cloud1,10485760,4985,4984,4901,1202,99,3511,97,1199,91
ewQRNCXY1U2J+mC9VjlM+Q==,remote,edge1,cloud1,10485760,5044,5044,4961,1263,106,3503,93,1262,89
RIwb7BXmf0+GQZReEx/BNQ==,local,null,null,0,3604,3603,3586,5,38,3522,0,4,29
8HpUALSorUCP1CLnC5e6Rg==,remote,edge1,edge1,10485760,2999,2998,2996,358,16,2617,15,357,10
opI46OVW80e4FLdK7ed+OA==,none,null,null,0,0,0,0,0,0,0,0,0,0
uhAPPSUA1EW94T34c1HD9A==,remote,edge2,cloud1,10485760,4751,4750,4668,1195,94,3289,101,1194,86
sDoE/P2UlUGJCM7/7F6cGg==,local,null,null,0,3185,3185,3168,4,36,3105,0,4,29
gt05ELHIsUKMTN38oYJu3g==,remote,edge2,cloud1,10485760,4921,4921,4840,1188,96,3470,89,1182,87
