tId,dataPullType,FromZone,ToZone,DataSize,TotalDuration,TriggerStepClientDuration,TriggerStepServerDuration,DataPullDuration,DataPushDuration,ComputeDuration,DataMasterPullCall,DataPeerPullCall,DataMasterPushCall
Iy67CSDW5ka9yG/DLRjJhw==,local,null,null,0,374,374,373,80,107,291,0,80,0
trcTAwjYgUittTpNIv48pg==,remote,cloud1,cloud1,104857600,1079,1079,1073,728,107,343,0,727,1
ITFeDFkVRUyYWgqqk9RO8A==,remote,cloud1,cloud1,104857600,923,923,921,656,97,264,0,656,0
YFv8fle2lkefTsqjHvJH+Q==,remote,cloud1,edge1,104857600,1033,1033,1032,726,92,305,3,725,0
J9ZYCIZN0UeCa4wLzl6bTg==,local,null,null,0,368,367,366,80,111,283,0,78,8
tr/gBRr2t0qUrij1QjGq0A==,remote,edge1,cloud1,104857600,835,834,834,461,71,371,0,453,0
lUtPBnndz0u/Ya7TnjGI4g==,none,null,null,0,0,0,0,0,0,0,0,0,0
jsD5ZA7C40++p0eT+3azhQ==,none,null,null,0,0,0,0,0,0,0,0,0,0
kzW7fTQm402WD3zm/6PUVQ==,none,null,null,0,0,0,0,0,0,0,0,0,0
foVx3nI4y0yY0/rdGkhOeg==,remote,cloud1,cloud1,104857600,911,909,908,630,95,277,0,629,0
Z+s89uK3TESHK9avA8a3/Q==,remote,edge1,cloud1,104857600,759,758,756,494,77,260,0,494,0
84B6G3eXmUK7yihw5hEQpw==,remote,edge1,cloud1,104857600,939,938,936,683,98,251,0,683,0
+R5e6S6H50qMT739eY0JRA==,local,null,null,0,414,413,413,92,107,319,0,91,1
HItF2WzI30mmza8iXYUrKQ==,local,null,null,0,390,389,388,106,98,280,0,106,1
jtD7OU/f9061ydb+q+5yRw==,remote,edge1,edge1,104857600,1147,1145,1140,783,88,354,10,782,0
TpW43TPJzU6GTpAur7R+fQ==,none,null,null,0,0,0,0,0,0,0,0,0,0
YRVwknzFfUWYljHbiIAs3g==,remote,edge1,edge1,104857600,1211,1210,1201,884,101,315,1,881,0
3JO1Zf55y0K77CUhLIKMHA==,remote,edge1,edge1,104857600,1114,1112,1104,889,80,213,1,888,0
RNcD5zgmxEu9/TEEQnHc+g==,remote,cloud1,edge1,104857600,975,974,970,707,74,262,0,700,0
eM+NKmUf7kiU7bZYjVqKLw==,remote,edge1,edge1,104857600,1705,1705,1704,1409,91,294,2,1407,0
t8TBWyiZsUOaPTVGD4rGjw==,remote,edge1,cloud1,104857600,959,959,950,697,80,252,0,697,0
Xj/uPId9G0yaCPbRHzDPEQ==,remote,edge1,cloud1,104857600,802,802,799,537,102,260,0,537,0
h7EFitL3TEyG7pMRypRorA==,local,null,null,0,368,367,366,79,95,286,0,79,0
j3oSSvlyOUKE9RdKEz2HhA==,none,null,null,0,0,0,0,0,0,0,0,0,0
2UqMKQooXUugldjb7N04ag==,local,null,null,0,324,324,319,63,90,254,0,62,0
JpeDnikU2EKNRRnQlcH3ew==,remote,edge1,edge1,104857600,1222,1220,1216,883,99,331,1,877,0
Sbi774lNDEmFrN3FNq+69g==,remote,edge1,cloud1,104857600,982,982,977,701,83,275,1,697,0
TUtM00EI3ESkl5o9nOM3bw==,none,null,null,0,0,0,0,0,0,0,0,0,0
OR5p6uaM/kGjeUaOG/qiLw==,remote,edge1,cloud1,104857600,794,793,791,511,92,279,0,510,0
U9P/v514D0iH8jOYHyufZw==,local,null,null,0,375,375,373,83,110,288,0,81,0
Dj0BO2x2/E6yJRe68+1lHg==,local,null,null,0,434,434,433,150,118,281,0,148,0
41GiP5QgvEO+lGSQwTcAlw==,remote,edge1,edge1,104857600,1143,1142,1121,767,92,351,2,767,0
aPDPNYQUmkua39bZaj+vMQ==,remote,edge1,edge1,104857600,1193,1190,1185,784,128,398,3,783,0
I1bOxu60wk2lgvDjf6mcvw==,remote,edge1,cloud1,104857600,934,934,932,665,82,266,2,664,0
im9UtdSxdEWWopE1D6qpng==,none,null,null,0,0,0,0,0,0,0,0,0,0
1QJXHlnIRU+AYaAlKNNqqw==,remote,edge1,cloud1,104857600,577,577,576,393,78,182,0,393,0
rV95UYQM40m6pFAMHcQXCw==,remote,cloud1,cloud1,104857600,698,697,696,490,83,203,0,489,0
mCt7raYv4U2uFIf4ENEWkw==,remote,edge1,cloud1,104857600,773,772,766,520,96,245,0,515,0
YG1GRRQ+1kagfvV9C7Mj8w==,remote,edge1,cloud1,104857600,1057,1057,1056,731,157,324,0,730,0
cCmFjpf1Zku6Pkg4ZddpJA==,remote,edge1,cloud1,104857600,969,969,967,674,100,292,0,673,0
8RXhXKcw7EKp6f7iljT3RA==,none,null,null,0,0,0,0,0,0,0,0,0,0
hvzcgD/4/E+p88Nko0wqxA==,remote,cloud1,edge1,104857600,826,826,825,595,86,229,0,594,0
