tId,dataPullType,FromZone,ToZone,DataSize,TotalDuration,TriggerStepClientDuration,TriggerStepServerDuration,DataPullDuration,DataPushDuration,ComputeDuration,DataMasterPullCall,DataPeerPullCall,DataMasterPushCall
bDYK/+P3O0GD6KvcQ5MGEg==,local,null,null,0,54,53,48,11,22,8,0,9,5
btyFjNy8lkKYLQbkGaDuSA==,local,null,null,0,74,73,71,16,16,31,0,8,2
6nV5X2Ze1kCAHvVUnJF6JA==,local,null,null,0,61,60,53,15,17,7,0,13,4
phO8GBBLrU2pMzK3k+51Jg==,none,null,null,0,0,0,0,0,0,0,0,0,0
cTvZ3ghv9kSWoxE5bPWC9Q==,local,null,null,0,88,86,83,23,32,9,0,17,2
F28gxvXJ30C+rBvWiPY9+w==,local,null,null,0,70,69,68,11,15,32,0,10,1
Y19KFCvnzUCxOlZnWepmIg==,local,null,null,0,63,63,62,25,15,15,0,15,4
HWYd95b/uk6Lfey0sKQwZA==,remote,edge1,cloud1,1048576,445,444,425,364,27,8,17,364,17
2LeVeb3QjUaS/3S3XoBUZA==,local,null,null,0,92,90,87,24,29,22,0,20,1
2JfK6k6dNEuCHMUewYUHIw==,local,null,null,0,645,645,641,606,18,10,0,10,1
ZWtEmRtqAkibvMCNIevzNA==,local,null,null,0,58,57,55,10,20,9,0,8,1
NM4tvy/1FUOdBpXxoHp08A==,remote,edge1,cloud1,1048576,450,448,427,362,23,16,16,361,16
FKwuTmYLrUWdUV7nq4HajQ==,remote,edge1,cloud1,1048576,944,944,926,865,29,10,17,362,17
ViXeBa/ST0ibE+3a0ZFb2Q==,local,null,null,0,80,79,73,24,20,16,0,22,1
Pvf2lxsd6EmCcYuSQ8aPwg==,local,null,null,0,60,60,58,23,17,10,0,16,2
GBwZDxAf50ONbs3zXKDSBQ==,local,null,null,0,63,63,61,10,24,21,0,9,2
PknU6rA2OkqR0NVeokc97Q==,remote,edge1,cloud1,1048576,441,441,423,371,25,5,17,369,17
pTzIZrU02k6Onme8YiphrA==,local,null,null,0,84,83,61,13,19,13,0,12,1
zqpITeUEzkiGh45O+KqE5Q==,none,null,null,0,1,0,0,0,0,0,0,0,0
Sl92TggMwU2njSNTONTeDg==,none,null,null,0,0,0,0,0,0,0,0,0,0
oi92jsxv0E2VL9hRwt2gmA==,remote,edge1,cloud1,1048576,425,425,406,352,21,12,17,349,16
g/4JnunPokWL+ZobtGdW6w==,none,null,null,0,0,0,0,0,0,0,0,0,0
Rd/BrPI27EiwipPj+58FIA==,none,null,null,0,0,0,0,0,0,0,0,0,0
s5q3W1p+t0Ol8OPlBF+Hbg==,local,null,null,0,602,602,595,557,18,11,0,8,3
UBTvNLOaAECwUxmtN2Ec0w==,local,null,null,0,58,57,56,17,18,10,0,10,5
DKaYVQA2b0SUX6P1N75G/w==,local,null,null,0,77,76,76,22,21,8,0,14,4
2iI0kEIPW06fXFxu5P5vCQ==,local,null,null,0,50,49,46,14,15,5,0,13,3
3eYG/9AFl0el4QKJvl7aqw==,remote,edge1,cloud1,1048576,445,444,425,370,25,6,17,365,17
K6AISzTApk6IQ7Uuz2MK+w==,local,null,null,0,82,81,79,17,30,18,0,10,4
+xTg9bmBLU+O6nuxzSfhjg==,remote,edge1,cloud1,1048576,445,444,426,365,27,12,17,362,20
wpXw3p/xVUyMDRAjaRpWWg==,local,null,null,0,94,93,89,15,17,45,0,8,1
b+0LIX+s10WYP2A6g2RsRQ==,local,null,null,0,62,61,59,12,29,12,0,9,2
klgn8OsvYESYKBMvnA+ztQ==,remote,edge1,cloud1,1048576,411,409,391,341,23,4,18,339,17
qs0k0fEo2U+s+wGpDIiq3g==,local,null,null,0,91,90,86,17,34,14,0,14,3
toCBkoSr20Oope3zDbA9/g==,local,null,null,0,648,648,644,603,26,7,0,10,1
VwiVoZpLvUSNmZnYXiFSLw==,local,null,null,0,84,84,81,15,41,18,0,13,1
VAYRRMkFu0ibqW1D8WW2QA==,none,null,null,0,0,0,0,0,0,0,0,0,0
wRkWyD6JCkWTkIfvWl/mbg==,local,null,null,0,83,82,78,13,17,31,0,5,2
+WhCk2kzgkWXed5sKfT9pQ==,local,null,null,0,64,63,62,29,14,10,0,23,2
IsycJcCwlkqx7+NpzNaQEQ==,local,null,null,0,118,117,114,20,49,19,0,14,3
ukGhGXR8gUua+U7CZNTv9g==,local,null,null,0,76,76,74,30,19,11,0,24,2
JRSZK6E2jE6MHvsbBg+CFQ==,local,null,null,0,59,58,54,14,16,14,0,11,1
7RWADE+KP0OhPvpZfnAdaw==,none,null,null,0,0,0,0,0,0,0,0,0,0
fQLyeSFBcUumPdOaJedgIA==,remote,edge1,cloud1,1048576,409,408,390,337,25,7,17,335,16
1oDAXAGU10qzmi38/TnUmA==,local,null,null,0,40,40,38,13,14,4,0,11,5
O9hGakaoEkKl7PhU/EBOEg==,local,null,null,0,47,46,43,15,13,9,0,9,2
CHhUwfXcZUSnwWO5XySfkw==,local,null,null,0,53,52,50,20,15,5,0,19,5
H38IlfDs8Ei2fK9o/N+PPA==,none,null,null,0,1,0,0,0,0,0,0,0,0
WqFkbLHGQEKBRJJKbb3a1A==,remote,edge1,cloud1,1048576,439,438,420,361,24,10,17,360,17
GWxQf3d2cUKTnM8ZvfXMbQ==,local,null,null,0,54,54,52,16,17,9,0,9,5
e0TEDRIZwk+W4TDzlcVNGw==,local,null,null,0,70,68,70,11,17,30,0,8,2
w3s0z0vGzku35SSspfwPTw==,local,null,null,0,57,56,53,17,18,9,0,10,2
0zaoX6NspkmAHNo7HaEpAg==,local,null,null,0,60,59,50,12,20,11,0,8,2
vQ1El3faBkCMfNLn6cqi4w==,local,null,null,0,52,51,49,12,22,9,0,11,1
ksP3lqJLEkWWzFy+dP41og==,local,null,null,0,77,76,74,25,33,7,0,24,2
1MAiTV/znEaciMFlu1cgYw==,none,null,null,0,0,0,0,0,0,0,0,0,0
p+vqk/cd2EKoJ9tByTOQAQ==,remote,edge1,cloud1,1048576,412,412,394,343,25,4,17,342,18
7YJRvYCRoUWSTSIkuxUnNg==,local,null,null,0,67,66,63,18,26,10,0,12,5
XZYnEUSpMUWNs1ThqqYxEw==,none,null,null,0,1,0,0,0,0,0,0,0,0
1zgdh+VfNEOgl/e8odAVDg==,local,null,null,0,56,56,50,9,21,8,0,9,1
BJ5qON45x0WLZuispInIwA==,local,null,null,0,50,49,47,14,11,12,0,12,1
L/YvJVh9lEmBnk+QBXblFg==,local,null,null,0,657,657,651,611,14,12,0,11,3
j7KptTo+j0WxQQfvvQBAaA==,local,null,null,0,54,54,47,9,19,5,0,7,3
V1Laz4zb50eBpLLk1Y5Ezw==,local,null,null,0,62,61,55,18,20,7,0,16,3
D8bBhnqfBEmoUUikdU/EVw==,local,null,null,0,65,64,58,15,18,17,0,11,3
d2frkd5uB0GdYkPSpKRNeQ==,local,null,null,0,78,77,74,23,36,9,0,16,2
C4GFWrMN706IZQNxjMVHKw==,local,null,null,0,74,73,70,17,27,15,0,11,6
0krWRYlWNUGuTCNLDvOGRQ==,local,null,null,0,71,70,64,24,18,14,0,14,2
wCou4bMKFESYaaAM0ocLHw==,local,null,null,0,49,49,46,8,18,10,0,7,1
Vd+DgrqTJk+mg2M9fh4MyA==,remote,edge1,cloud1,1048576,421,421,401,347,23,7,17,346,17
jFosPQJkKUeEJF9flGaj5g==,local,null,null,0,56,55,53,8,12,18,0,7,3
i/7duPFJH02gls9A1pBe3A==,local,null,null,0,96,95,86,34,15,16,0,30,1
BBwoCEVXUEit50bcK+mYiA==,none,null,null,0,0,0,0,0,0,0,0,0,0
4UBOiEtwSkC8BdAxEpe86A==,none,null,null,0,0,0,0,0,0,0,0,0,0
wLLzjP2LPkubjyfbREc7vQ==,local,null,null,0,74,73,72,11,19,25,0,11,3
0TwtF/yqJ0mZe3O9XIcYtg==,local,null,null,0,64,62,60,15,24,12,0,14,12
ctrudu8tjUyrn3TqBqZ4Fw==,remote,edge1,cloud1,1048576,386,385,366,314,28,3,18,312,17
C7iPLl/Adk+h2ERAocGRkw==,local,null,null,0,71,70,67,14,21,19,0,12,1
2qvPHAWlZ0+PEz4HHwWI3Q==,none,null,null,0,0,0,0,0,0,0,0,0,0
1R3FmvhswUWT7ihwByJQQw==,remote,edge1,cloud1,1048576,432,431,413,355,26,12,17,354,17
Nqtj0i+dS06M916CbnX5lw==,local,null,null,0,612,611,606,557,24,13,0,10,3
aOR1wNwnZkuHu+Sq5mKzLQ==,local,null,null,0,67,66,63,22,30,4,0,15,8
4b9m6PkAhk6G8rxeTvScJw==,local,null,null,0,55,55,52,9,24,11,0,5,2
h1ca6SlpZUq2E1l8l9sSeg==,none,null,null,0,0,0,0,0,0,0,0,0,0
DEjrod3c6kK6j/1tjaA5lw==,remote,edge1,cloud1,1048576,953,953,934,870,26,13,18,363,18
2bqgaF1puU2Eyh6Rmjhbeg==,local,null,null,0,1067,1066,1060,1006,17,23,0,9,1
bWyM8PgMA0iH+ne9gLqLtA==,local,null,null,0,61,59,68,16,23,9,0,14,3
/tHapnIySkqd0tgtcks2vw==,local,null,null,0,48,45,44,15,18,3,0,10,3
oZcWG79oAE2sMBHk3Y1cAg==,local,null,null,0,33,31,27,8,8,5,0,5,1
SZuHYGfi5U2pr7ZJKTVIBQ==,local,null,null,0,48,48,46,5,13,17,0,4,1
VoyyKHWB+k+797jV1QzZAQ==,local,null,null,0,641,640,636,7,13,604,0,6,3
nk71d2RxXEmrF9T+0Sb9TA==,none,null,null,0,0,0,0,0,0,0,0,0,0
GNNScvZ2x0yKZUuAnbhYtA==,local,null,null,0,1943,1942,1940,1922,7,6,0,35,1
01KiW22wMk6LcWGWdYBaEg==,local,null,null,0,1941,1938,1935,1893,13,19,0,5,1
czCa2QzQf06wpYmkntIvwA==,local,null,null,0,53,52,47,13,17,6,0,10,3
2cID/unAs0WwbsXJybZlwQ==,local,null,null,0,84,83,78,8,33,29,0,6,4
rni4OdTwskm/OIxpld54xw==,local,null,null,0,73,72,67,24,33,4,0,21,3
xEjjI0/ExkWVc7t6MvHsNA==,none,null,null,0,0,0,0,0,0,0,0,0,0
4GLvlcffg02xt5NLkhebOQ==,remote,edge1,cloud1,1048576,947,947,929,870,25,11,19,363,17
gwRmFx1YDE+ZytYE7X6Tcg==,remote,edge1,cloud1,1048576,448,445,427,366,28,10,17,363,16
/uWTCpd9QEaDcG3UcYzu8Q==,local,null,null,0,65,63,61,19,16,16,0,16,4
nyXQnf8GA06M8vLnbBnrYg==,local,null,null,0,65,64,57,13,17,15,0,11,5
+e0uX6UotUSzK+Hk962fvQ==,none,null,null,0,0,0,0,0,0,0,0,0,0
l3NFWH/9JkavwpYPeErt2g==,remote,edge1,cloud1,1048576,439,439,421,365,31,3,18,365,18
khqUwexB00a050l/EHQmzQ==,local,null,null,0,66,65,64,11,23,21,0,8,2
OxZqoJ96fk+gwaQfM+atmw==,local,null,null,0,52,51,50,15,18,8,0,14,2
Q7rK7RsrsU2lDlz3UZuLUQ==,remote,edge1,cloud1,1048576,432,432,412,356,27,6,16,354,19
wwkeS2qDKUeNhboeSYjogQ==,local,null,null,0,1076,1075,1067,1005,15,39,0,8,1
MB/woBtdSku10xzHAb1FJQ==,none,null,null,0,1,0,0,0,0,0,0,0,0
npqSIPhOnUOxQKJ1hh8Wdw==,remote,edge1,cloud1,1048576,424,423,405,347,26,9,17,346,17
O/zXD0eAQE2bY71krRvHWg==,remote,edge1,cloud1,1048576,453,452,434,370,33,10,17,369,21
tiNASPKX10K6KzFaityOtw==,local,null,null,0,56,55,53,13,17,17,0,12,1
HT9+4iuKeE+sg2JD2rT0Tg==,none,null,null,0,0,0,0,0,0,0,0,0,0
1JxCWgdGqU2hlA+AGk+mBw==,none,null,null,0,0,0,0,0,0,0,0,0,0
xlkdomWfAkmLmYWfpABPtw==,remote,edge1,cloud1,1048576,468,467,448,390,27,5,18,387,17
ekJSzSttbEWVOlsN9bDXEA==,local,null,null,0,61,60,58,20,16,12,0,19,4
G+kCvB0lZUyRBf5RdKWyig==,remote,edge1,cloud1,1048576,445,444,426,358,25,15,16,354,17
110LoWZFaE+lvAbV+CXH8A==,remote,edge1,cloud1,1048576,442,442,424,369,24,8,17,364,18
M5VW8dacfEiBtW5jANu59g==,remote,edge1,cloud1,1048576,448,448,429,368,26,15,17,366,19
JtpJOGgQxEeqZSOItk5E7A==,local,null,null,0,1064,1064,1062,1024,10,19,0,20,1
a+DB9R8kJ0eDib50rQHHPQ==,local,null,null,0,666,664,659,617,19,13,0,15,1
/cwrKNguDEyzqcXAE22h3A==,none,null,null,0,0,0,0,0,0,0,0,0,0
AXtSTJiVgk2ZaxGiaVOePg==,local,null,null,0,98,97,93,29,29,18,0,26,2
QOgiz1w5vkqM46CLsEr0cA==,local,null,null,0,62,61,62,8,28,7,0,7,2
WMhvi66p6k6YzsGJk7P6Og==,local,null,null,0,57,56,54,7,25,12,0,6,3
7e+CHzHJRUWcdHG4J3vqDA==,none,null,null,0,1,0,0,0,0,0,0,0,0
W4WhAZ8TS0Ou6Gx6DdIomg==,none,null,null,0,0,0,0,0,0,0,0,0,0
XUxdtqutv0GaYrdTOwuJcA==,local,null,null,0,58,56,51,13,21,9,0,10,2
ZjV9pqSKF0+D8yPKjs/tMA==,none,null,null,0,0,0,0,0,0,0,0,0,0
njKKZsq1M0GvUf/jTyvnWQ==,local,null,null,0,69,69,65,21,21,18,0,17,2
6aUrlindX0mvAoZvbpeecQ==,local,null,null,0,69,68,66,15,13,12,0,14,2
eBTtrR8OGUiry/lasntgFw==,local,null,null,0,59,58,57,12,20,19,0,7,2
XmRTV79JU0inAUfz0bqebA==,local,null,null,0,50,50,48,11,9,8,0,10,1
kamhCtaLEUWinnFt7VPFPg==,none,null,null,0,0,0,0,0,0,0,0,0,0
BZ4AbvVlCUmtUZXqWjLyMw==,local,null,null,0,103,101,94,27,24,30,0,16,7
