tId,dataPullType,FromZone,ToZone,DataSize,TotalDuration,TriggerStepClientDuration,TriggerStepServerDuration,DataPullDuration,DataPushDuration,ComputeDuration,DataMasterPullCall,DataPeerPullCall,DataMasterPushCall
99iXz9uRQkCjgWbMzw5PgQ==,local,null,null,0,80339,80338,80296,40,49,80174,0,12,17
a/tKF6hWNEy3QOZwqHKKAQ==,local,null,null,0,74850,74849,74846,31,31,74772,0,14,1
kGkvhNuEfk26NXi2Jjklyg==,local,null,null,0,78919,78918,78884,1009,72,77778,0,6,19
gvcEMp2WC0SLibToWOExlg==,none,null,null,0,0,0,0,0,0,0,0,0,0
gbLxqhgXw0qRnH9c2lcyzA==,none,null,null,0,0,0,0,0,0,0,0,0,0
+4J2XvyBqE+iLTxyqwILNA==,local,null,null,0,76028,76027,76006,34,42,75908,0,20,18
rFG/VcxP0kG6mKganyjSOw==,local,null,null,0,73071,73070,73066,19,25,73015,0,14,1
kqg9wsRvWEit4kakJPkU8Q==,none,null,null,0,0,0,0,0,0,0,0,0,0
WhkG7CUa9UG35BugbZQxbw==,none,null,null,0,0,0,0,0,0,0,0,0,0
kcYBkThKe0y7RaWwDD5SUg==,local,null,null,0,73188,73188,73183,24,62,73088,0,15,6
Wllh9prQ60CSEflJ77RoRg==,local,null,null,0,76033,76033,76027,24,71,75917,0,16,3
FlmSwyuSuUeIZyXUMWbYqg==,remote,edge1,cloud1,104857600,70063,70063,69981,3963,99,65835,82,3960,82
geY+7uKX8ESSMlZYQoRrtw==,local,null,null,0,84272,84271,84257,22,98,84094,0,12,19
BXHcMrErX0GXBRenG8eHPg==,none,null,null,0,0,0,0,0,0,0,0,0,0
i88LATv0T0qQW2Gu0IxlNQ==,remote,edge2,cloud1,104857600,72757,72757,72589,3715,133,68571,165,3712,83
2/hhUKU6RE23sDw/aEP2jA==,local,null,null,0,79861,79860,79832,30,95,79678,0,16,27
vBPJHjAlL0m3BBIAo7rYXw==,local,null,null,0,78612,78611,78568,31,82,78415,0,16,19
I5/qKZX3+k6lG969cM6rIA==,none,null,null,0,0,0,0,0,0,0,0,0,0
nLyk6IYZ9EyR1h271TfPPA==,none,null,null,0,0,0,0,0,0,0,0,0,0
1JdRkE0Q+Uy47lLCp5Sp1Q==,local,null,null,0,73005,73004,72995,17,27,72942,0,9,2
R97fX0yOLEGne8N8kCGclw==,local,null,null,0,74796,74795,74796,11,74,74688,0,5,4
F4Jfe44l902B8wEPQ7Ci1g==,local,null,null,0,77715,77714,77693,32,48,77582,0,16,17
