tId,dataPullType,FromZone,ToZone,DataSize,TotalDuration,TriggerStepClientDuration,TriggerStepServerDuration,DataPullDuration,DataPushDuration,ComputeDuration,DataMasterPullCall,DataPeerPullCall,DataMasterPushCall
2+7wmzAT1kqZXaZFqwa3jQ==,local,null,null,0,880,879,862,28,32,771,0,12,18
vcyLQhMFsUqtkYMqQrUESw==,local,null,null,0,2007,2005,2002,1013,18,964,0,8,5
dX8Am5GNBk2Qg6yPbh3sbQ==,none,null,null,0,0,0,0,0,0,0,0,0,0
m57IcB4BdEKUluWvpZok4A==,local,null,null,0,722,721,699,9,56,609,0,8,28
C+mbmPlGPkKE1cdMntq+qw==,local,null,null,0,630,629,617,19,7,578,0,17,1
PVBjbW/+ykW36DOxJpCJnw==,local,null,null,0,802,801,783,25,55,667,0,20,24
YS1YJIJ7lkulwoeoWJozPg==,none,null,null,0,0,0,0,0,0,0,0,0,0
8xdXVEkgdka9z27EpnLmFQ==,none,null,null,0,0,0,0,0,0,0,0,0,0
d1z08u1mT0+VsfzU0P5XuA==,local,null,null,0,967,966,945,13,48,860,0,10,17
ISUp6ozFQkKTjcncHRwTSg==,none,null,null,0,0,0,0,0,0,0,0,0,0
qnBSzYrC3kqYcc7GBzpnZg==,none,null,null,0,0,0,0,0,0,0,0,0,0
3jqx5CoIrEOJmlrGqBeMjQ==,remote,edge1,cloud1,1048576,1717,1716,1635,815,95,638,81,813,82
azt2edz5m0yhv7AvykvabA==,local,null,null,0,741,740,733,52,12,659,0,40,1
kGhXVEUuoU6KnpCJ2ZNEZQ==,local,null,null,0,981,981,961,14,28,895,0,7,17
r5O4nyCHLke4Zm6QdxpV7w==,remote,edge2,cloud1,1048576,1531,1530,1449,695,99,569,86,691,83
dPJt4B2B0UyLP1qecbuLZg==,local,null,null,0,715,714,690,13,26,629,0,7,19
Q4hA2tOlekWnFQkV6jt1Uw==,local,null,null,0,1593,1592,1567,18,634,865,0,18,17
pJQseVYTtUeQX68T1fg2zQ==,local,null,null,0,1067,1062,1032,19,53,915,0,18,22
ylJP156DY0+5LoysgO3iew==,remote,edge1,cloud1,1048576,3063,3062,2303,1821,87,308,89,818,81
8ChBLDoG3USejOwRe3M+ZA==,remote,edge1,cloud1,1048576,2510,2509,2428,1711,98,534,81,811,81
myifHaOkdE2SD1lAow2i9w==,remote,edge1,cloud1,1048576,2540,2539,2458,1744,93,535,83,815,81
nhQx29QNFkmRzLWL+pAdpg==,local,null,null,0,832,832,830,37,7,771,0,19,1
35/SK+UwjkKRFPyGSTVHbQ==,local,null,null,0,489,488,470,21,26,395,0,17,19
pHTuoFbSqkq8Qn9y6SOc1g==,local,null,null,0,2904,2904,1898,1016,22,850,0,9,9
ADsPjX4RNkm5F2IJd2XlmQ==,none,null,null,0,0,0,0,0,0,0,0,0,0
EA2f7WFA1ECxsTCx5av0zQ==,local,null,null,0,706,706,688,24,58,571,0,17,21
KHvrnztYzEq1EApXzHlmjw==,none,null,null,0,0,0,0,0,0,0,0,0,0
Lfw6BbkIYkCMjLulpP18BQ==,remote,edge2,cloud1,1048576,1731,1730,1648,767,106,688,84,765,84
bNLxmqmDOEKnQQOre4Hj1w==,local,null,null,0,771,771,769,31,13,716,0,12,3
s/Aoz2iHTEy4S9MHzidKFw==,remote,edge2,cloud1,1048576,1825,1823,1742,1090,94,470,81,1084,81
YqB1C3Wra029T6LM4OJ2+g==,local,null,null,0,1035,1033,1013,16,44,924,0,13,20
T94v2IUcnkKhftZtHk9vyQ==,none,null,null,0,0,0,0,0,0,0,0,0,0
XO6WgYO0/kyQMTCREGK3xw==,local,null,null,0,790,789,785,16,26,728,0,14,3
ySSLaPq4Ik20ueQf8ghrVw==,local,null,null,0,1038,1036,1015,12,56,925,0,10,23
l40QEGpkF0OxWFF9norjKA==,remote,edge2,cloud1,1048576,1939,1938,1856,1084,119,553,81,1078,82
nQcNC8IlOkmxlfjd6W8hfw==,local,null,null,0,910,908,907,32,9,838,0,24,1
BS7SUtAuZkCNLlDXs7yvVw==,local,null,null,0,1023,1023,1012,16,44,936,0,15,1
gYu6B7rsO0OauCpGtKt9ew==,local,null,null,0,1613,1612,1589,15,611,932,0,15,17
xMA5/2je/k+h3QYEcXUw3A==,local,null,null,0,1068,1067,1048,8,37,962,0,7,19
9JuokgmBHk6WjzXAB4P3Hw==,local,null,null,0,631,630,622,19,31,553,0,8,2
/3Bm8lhK90+60Lu2pbfkLQ==,remote,edge2,cloud1,1048576,1858,1857,1774,1109,93,487,83,1098,82
f7dZA63M9E2j1bzkb7xD1Q==,local,null,null,0,735,735,717,27,59,585,0,20,25
JYVv5maaz0SqW/R8lUWR7Q==,local,null,null,0,674,673,665,12,45,584,0,10,6
Sf8Muh+JeEefOHpr+yVvTg==,local,null,null,0,1776,1774,1770,1010,21,702,0,6,4
ag3irDuQkU+y+PJD/Qi5ug==,none,null,null,0,1,0,0,0,0,0,0,0,0
8dJp7oM1S0OlqBJPDazIaA==,remote,edge1,cloud1,1048576,1665,1664,1583,827,88,582,81,819,81
3wjIsF0s7kOJTbAYTO1sIQ==,local,null,null,0,643,643,626,28,34,540,0,20,17
zrhcPBRqRECIAgxC/+9h8A==,local,null,null,0,922,921,901,17,21,835,0,9,3
kpjoLlJsIkWW1I4yNSC8jw==,local,null,null,0,1189,1188,1175,45,26,1082,0,24,4
g6LOruiaYkm3Od+MaByuyw==,local,null,null,0,2833,2833,2827,2000,35,783,0,4,3
3G8bVtR1XUC+8kztQRpcQQ==,none,null,null,0,0,0,0,0,0,0,0,0,0
2CX6OZEXdUiMcpjzti2X+g==,local,null,null,0,1065,1065,1059,11,27,1012,0,7,3
sG43kDpSr0uTmSh+feNXhA==,local,null,null,0,687,685,661,30,25,571,0,26,18
hvm30dPNik+fRDnUH8IzFQ==,local,null,null,0,813,813,794,31,45,654,0,13,20
d7QLcFr9TEa58YIKAL7R2w==,local,null,null,0,755,754,732,27,51,610,0,16,26
3lTQ0fZnFEOF0KYZdGTXrw==,local,null,null,0,1412,1412,1388,22,43,1297,0,17,17
+T22xkSMrkiO+Vg+AGOvdw==,remote,edge1,cloud1,1048576,2259,2258,2175,1316,120,636,84,1308,84
0zvrUOQ55kqgg/tMlSuTkg==,remote,edge1,cloud1,1048576,2295,2295,2212,1322,96,707,85,1315,84
V7D0Z1W20UiWmxuH4h8ZDg==,local,null,null,0,1023,1022,1013,26,15,958,0,12,1
AYJAfSlGMEa/pZjxcQ3ICQ==,local,null,null,0,688,688,668,16,53,573,0,14,19
tkiGujheD0SbJhe5gxr6zg==,local,null,null,0,878,877,872,25,20,811,0,24,2
pPKxnl1kvUCOtXzIwchMSA==,none,null,null,0,0,0,0,0,0,0,0,0,0
2x1ZCb+BiUmktYC8H1HSmA==,local,null,null,0,850,850,832,17,40,727,0,5,19
Aumg7HkNnU+xccVeKwDnTA==,none,null,null,0,0,0,0,0,0,0,0,0,0
gVaPIXRMTECJT29MrHj/FA==,remote,edge1,cloud1,1048576,2152,2151,2077,1314,124,503,84,1312,84
/vsGQqj11E2f5JlnX8Ngqw==,local,null,null,0,1929,1927,1921,1026,40,827,0,13,3
EkcIDJCO40uxI1GWSKkVeQ==,none,null,null,0,0,0,0,0,0,0,0,0,0
cxjJtzEPE0K2wyZ5Ehe1Fg==,none,null,null,0,0,0,0,0,0,0,0,0,0
CO83Gv7h/Eq83tbJybKcjw==,none,null,null,0,0,0,0,0,0,0,0,0,0
4KXRpB2Iy0OWhYdXREJHJA==,remote,edge2,cloud1,1048576,1919,1917,1835,1080,94,564,83,1078,82
dyzrsUK+Rku+u7HLhW0xpw==,remote,edge2,cloud1,1048576,1573,1572,1491,766,111,506,84,765,89
yRrMGuHUx02gjgSaCmP/8A==,local,null,null,0,842,841,819,23,47,706,0,19,23
xBVRpuECq02iUoWGD9Oc5A==,local,null,null,0,975,974,967,34,24,891,0,30,10
DexIYisfWEWSwcbkOchfsA==,local,null,null,0,947,945,928,14,28,860,0,9,18
wtmYKUCrzkOI4C5oek0w5A==,local,null,null,0,913,912,893,9,54,802,0,7,24
1qpOkn8V90+vnAjr3Wmmpg==,remote,edge1,cloud1,1048576,2181,2181,2097,1314,96,594,84,1309,84
DYpEJdPQJUWErrogqzp4Ag==,local,null,null,0,864,863,857,22,23,803,0,8,3
BR7rowRL90+i4JZVF4Zi8Q==,local,null,null,0,1121,1121,1117,30,33,965,0,28,3
kZ750G95oEal0YR8BNFc6w==,none,null,null,0,0,0,0,0,0,0,0,0,0
c7AUZOapwUC+csFuGKfHvw==,local,null,null,0,1059,1057,1044,36,37,931,0,31,14
SNCDVNoqAkGklTW04NaOBg==,remote,edge2,cloud1,1048576,1718,1716,1635,1079,105,363,83,1078,82
SvKaW9UvVU2N1Q4G1+69vg==,local,null,null,0,969,968,941,27,55,827,0,12,25
TcWV+rgrZ0+uqcXF7v36yw==,none,null,null,0,0,0,0,0,0,0,0,0,0
j6FBJjonik6jyAdxa+GJRQ==,local,null,null,0,1019,1018,1004,33,27,900,0,30,1
+SSCveR/7U+AmNOWeZrS3g==,local,null,null,0,1150,1149,1147,18,42,1079,0,17,3
TBvWMNoUjE6Q6WDVZE5LCg==,local,null,null,0,2699,2698,2702,2002,35,643,0,6,8
L10OT8dSzk6umqhkFA4m8Q==,local,null,null,0,622,621,603,13,34,531,0,9,17
Xuj0B1wgukeObv0nHYVI/w==,local,null,null,0,761,754,753,8,40,658,0,9,5
IyQJB2v2ZECCnirI6KJkwA==,none,null,null,0,0,0,0,0,0,0,0,0,0
giAP8St/qUGHIhiPCn/FQA==,remote,edge2,cloud1,1048576,1392,1392,1308,685,90,442,81,683,81
