tId,dataPullType,FromZone,ToZone,DataSize,TotalDuration,TriggerStepClientDuration,TriggerStepServerDuration,DataPullDuration,DataPushDuration,ComputeDuration,DataMasterPullCall,DataPeerPullCall,DataMasterPushCall
S8HjwoPuCUapjBfBYT5pzw==,none,null,null,0,0,0,0,0,0,0,0,0,0
IWilOGe9sk26Q2fwxd67MA==,remote,edge2,cloud1,10485760,4583,4583,4499,1161,92,3158,83,1160,83
OjJdWh854kK+UmfOIRG7sQ==,local,null,null,0,5308,5308,5291,7,27,5231,0,5,17
pkSuaGEuxkSbaFujYsIgww==,local,null,null,0,5135,5134,5133,11,15,5101,0,10,3
onkYJ1OmL0aK1l9vLzyskQ==,local,null,null,0,5088,5088,5087,13,18,5049,0,10,2
HMZhvUMltk+MB1OJn123og==,local,null,null,0,5083,5083,5081,26,9,5030,0,17,2
6tbPOt0UwkeIFqsAgI5TZg==,local,null,null,0,5071,5070,5070,19,23,5018,0,14,4
5ugWTk+ifE6GJ4Yvkz7J+Q==,remote,edge1,cloud1,10485760,8272,8271,8188,1144,96,6863,82,1143,82
F8fHPyFlDES/w9n+IgQMzg==,none,null,null,0,0,0,0,0,0,0,0,0,0
68cD+hBOoUO0sCulWDpapg==,remote,edge1,cloud1,10485760,7977,7975,7892,1352,91,6362,82,1150,81
7E/3qAa4/ESRjOqoBD7LLQ==,remote,edge1,cloud1,10485760,8077,8076,7994,1153,113,6629,82,1150,83
AMTFv3M8a0qUM9FtsjzgzA==,local,null,null,0,5160,5159,5155,8,31,5108,0,4,2
YlPTExjRHU2XUz3+tDi3ug==,none,null,null,0,0,0,0,0,0,0,0,0,0
endPRQzTckysjj9rkXgviA==,none,null,null,0,0,0,0,0,0,0,0,0,0
O3mTNLDfCkKu+Fj99MNUUw==,local,null,null,0,5443,5442,5425,9,31,5364,0,6,19
otpNGm4z8kG/4iqVzOja9w==,none,null,null,0,0,0,0,0,0,0,0,0,0
Ni4GGq3beEKOQyFit1qRrg==,local,null,null,0,5509,5509,5492,7,35,5428,0,7,17
jpM1W6H04UO5tIfgl1msOA==,local,null,null,0,5530,5530,5514,9,26,5456,0,8,18
UVw5b/ZePEm5rOSRJEV5pA==,local,null,null,0,5426,5425,5409,7,25,5349,0,6,17
bfhj4P61bU+uNmCk9Yi3rA==,local,null,null,0,5080,5079,5078,9,16,5044,0,6,4
9lGaT0I1QkaY17Rzar2P0Q==,local,null,null,0,5111,5110,5109,15,8,5079,0,8,1
Xj6I0m/O8kulhdTVqZXoxQ==,local,null,null,0,5077,5076,5073,7,19,5038,0,5,3
VR+zrxNZ2UeiVSwA5YOLtw==,none,null,null,0,0,0,0,0,0,0,0,0,0
43trKB6q10e1icmPjzz7Iw==,remote,edge2,cloud1,10485760,4580,4579,4495,1149,92,3167,83,1148,84
9pI8XwouxUWYvHdqvhB7zA==,local,null,null,0,5346,5346,5329,5,25,5279,0,4,17
sVexC3Y+vkq6UP+LzvTv7g==,local,null,null,0,5303,5302,5285,7,30,5226,0,6,17
L0nMe7vxSEOXtrPiwZhRpA==,none,null,null,0,0,0,0,0,0,0,0,0,0
tmct283RdkKcQ+nHfYPoaQ==,local,null,null,0,5131,5131,5105,8,22,5047,0,4,16
yCROcwGfokKzk9bdrXuHSA==,local,null,null,0,5398,5397,5381,9,29,5321,0,5,18
owjKIrMvwEa0IokSuVPf+g==,local,null,null,0,5308,5307,5289,11,28,5229,0,5,17
pXvu6WLeI0GCu17E/GgDIA==,remote,edge2,cloud1,10485760,4532,4532,4448,1079,90,3192,84,1077,82
qRilDp4vRUqx9RV2kVU1nA==,remote,edge1,cloud1,10485760,7177,7177,7094,1518,97,5383,84,1163,83
ETw+VyEfd0GF22w14LDtkg==,none,null,null,0,0,0,0,0,0,0,0,0,0
9xBKLZnACUyJfLbH+JdH9w==,local,null,null,0,5047,5046,5042,12,13,5010,0,9,2
kPFp2ZoFyEyXuaJ+fJ7Yhw==,local,null,null,0,6153,6152,6135,839,33,5242,0,6,18
Ivw1nslwakCoKQu8z98Edg==,local,null,null,0,5181,5180,5179,16,20,5130,0,13,7
OmN/7OkCSkuqmRM3SoUKig==,local,null,null,0,5251,5250,5233,12,26,5173,0,7,18
D3ipNDo+LEyf0ixw0XnMIg==,local,null,null,0,5083,5082,5076,7,26,5030,0,6,7
fS/1sEgFXk2FIxDp55cdvQ==,local,null,null,0,5135,5134,5130,8,18,5094,0,7,4
bLQNTmPBKEGo1Ypk/nPfqg==,remote,edge2,cloud1,10485760,8342,8342,8259,2459,89,5621,83,1649,82
8feXGHePbk2c1+r1XLPOEQ==,local,null,null,0,5457,5456,5440,13,38,5364,0,12,23
GESC07jBVUuLx02saPUsdw==,local,null,null,0,5456,5456,5440,7,26,5382,0,5,18
7UpYt7t4cUC8bplC+4r9Eg==,local,null,null,0,5490,5488,5486,15,17,5448,0,14,1
Ulx79fAEdUiPTowaUmJMLA==,remote,edge2,cloud1,10485760,7652,7651,7568,1667,88,5724,81,1656,82
KqtKqxHWgkqcjogxGdHLrA==,local,null,null,0,5079,5078,5075,13,19,5033,0,11,2
1QSDbOvjuk+lW/o5FIdeLw==,local,null,null,0,5229,5228,5211,4,34,5152,0,3,18
dog25R/bGUKQyPG3/XgPAQ==,local,null,null,0,6166,6165,6148,839,24,5261,0,6,17
u3cgOAkQa0SwXrH4DFbQNg==,local,null,null,0,5516,5516,5498,8,29,5438,0,4,20
77bgQE2tfkyeg62lJGOzEQ==,none,null,null,0,0,0,0,0,0,0,0,0,0
fE3mfGhXXkGQL9Wg3qwZgw==,none,null,null,0,0,0,0,0,0,0,0,0,0
OFcjKqPPHEuTuSCedUxy9g==,local,null,null,0,5078,5077,5079,9,14,5047,0,7,1
bLvTsZdDa02+fOwcIXyNSA==,local,null,null,0,5156,5155,5137,4,26,5087,0,3,17
N+CuHCKA0E21Z04UpCMS6g==,local,null,null,0,5025,5025,5022,12,16,4985,0,10,2
Mj1n3OUkWkyyRpOR8E/Wgw==,remote,edge1,cloud1,10485760,7212,7212,7129,1147,107,5781,82,1145,83
U0O8ugGnfEOpeTJ86wrFpg==,none,null,null,0,0,0,0,0,0,0,0,0,0
vOdoR9wMrk6F03TOuXbTvQ==,none,null,null,0,0,0,0,0,0,0,0,0,0
cU9tsDdgVUmVislVTakG4A==,local,null,null,0,5394,5393,5391,11,20,5351,0,9,4
zCdkwlE/+kaoLoXaIheBbw==,local,null,null,0,5074,5073,5072,12,25,5028,0,7,2
qaJxNW16YE+KYsxHuwJQUg==,remote,edge2,cloud1,10485760,7593,7592,7505,1747,90,5582,86,1736,82
kaKZg59fnkSjaAhiTl3dyQ==,remote,edge1,cloud1,10485760,7415,7415,7332,1150,100,5989,82,1146,81
