tId,dataPullType,FromZone,ToZone,DataSize,TotalDuration,TriggerStepClientDuration,TriggerStepServerDuration,DataPullDuration,DataPushDuration,ComputeDuration,DataMasterPullCall,DataPeerPullCall,DataMasterPushCall
Bl45o6FcR0yaodZ4I6MgFg==,remote,edge2,cloud1,1048576,1897,1897,1813,1083,102,543,83,1082,86
bPDJO2uH4EShP/YK9OibYw==,local,null,null,0,2705,2702,2698,1818,53,811,0,6,1
UGT8fb2MIEmerx4aE2HciQ==,local,null,null,0,663,663,671,25,35,581,0,19,7
pThvJkAtu0+sUG2JA0J8UQ==,local,null,null,0,1835,1835,1805,999,46,710,0,10,19
NNy/jKxRNkC1inSiok97pg==,local,null,null,0,1521,1519,1503,8,586,891,0,7,2
l4elBXiu+UWG6dFcuXAYWg==,none,null,null,0,0,0,0,0,0,0,0,0,0
rhXxCO49LEyI39aO4BmdgQ==,remote,edge1,cloud1,1048576,2408,2407,2325,1786,92,359,84,1325,83
4sSnGMCipk+hE9loHyKZcw==,remote,edge2,cloud1,1048576,2260,2259,2176,762,801,524,83,761,84
ij8MkwlnO0WJXwLpIhLytQ==,remote,edge1,cloud1,1048576,2004,2003,1920,821,719,289,82,820,82
37oyWFWf0UKK/GozBmIzjw==,local,null,null,0,766,765,762,19,25,706,0,15,5
t1l/8Ib3L0C01Ui/4JMoeQ==,local,null,null,0,828,827,823,24,25,757,0,10,4
3r4z31JGekG/V9SJ4XMpAA==,none,null,null,0,0,0,0,0,0,0,0,0,0
vWnXJM0ZmEWXajjTDQyWOA==,none,null,null,0,0,0,0,0,0,0,0,0,0
UoAl3tSSk02vhAfHvIwWJA==,local,null,null,0,638,637,634,23,16,577,0,17,4
jABp/bT+cEekS3q2WM4aqw==,local,null,null,0,758,757,754,19,37,666,0,16,4
w5v3Ob2eZEuXKSo+Z/tV0Q==,none,null,null,0,0,0,0,0,0,0,0,0,0
WQsrwhxHIkyJxikfIUWc+w==,none,null,null,0,0,0,0,0,0,0,0,0,0
MibXO/gZcket/5ZPBpk9xA==,local,null,null,0,899,899,896,14,31,839,0,9,10
U/kTepcDtkGWNmxqs+n7Qw==,local,null,null,0,676,674,630,20,43,515,0,13,19
34x+l7vj70uzUf5XKdaq8A==,local,null,null,0,1060,1060,1022,19,26,953,0,9,19
AWEhkp5eQ0yLG6nYxpUPJw==,remote,edge2,cloud1,1048576,1862,1861,1779,1091,86,517,82,1084,81
pMDysb4pdky3BSOLTQ87UA==,local,null,null,0,787,786,782,16,23,722,0,13,2
NAt2lWW0vk+4aiAHW47U/Q==,remote,edge1,cloud1,1048576,1933,1933,1852,1241,94,431,81,813,82
x7WOp4ft60KgrcJaNWG90g==,local,null,null,0,1066,1066,1059,34,29,978,0,28,2
LhlhTl38qUiHd/OYXJaTHA==,local,null,null,0,895,894,874,34,24,781,0,16,18
G1ZoIpCiR0K/zzhcpohF1A==,local,null,null,0,968,967,947,16,39,860,0,11,18
/bpSz8NSu0CrAfQoJVkBfw==,local,null,null,0,1371,1370,1366,21,36,1301,0,16,8
al9Qh5LrF0qxzjvMuRu+bw==,none,null,null,0,0,0,0,0,0,0,0,0,0
DBAmyTxRtE2rqRMQIJidMA==,remote,edge2,cloud1,1048576,2447,2446,2281,994,112,999,167,849,84
/mNQIGkqvku7RqvBjXvoFg==,remote,edge1,cloud1,1048576,2932,2930,2767,895,1093,612,163,897,81
4fYaSXtBN0u7sFdYhWKrMw==,none,null,null,0,0,0,0,0,0,0,0,0,0
mswbruVjjUKQlsL3+6rNKg==,none,null,null,0,0,0,0,0,0,0,0,0,0
fTeRyDugoECYK3CXu00RBg==,none,null,null,0,0,0,0,0,0,0,0,0,0
Ud8FohuZDEuAWrg+UJqIew==,none,null,null,0,0,0,0,0,0,0,0,0,0
/vSH55lxA0yKng0iTDTnGg==,remote,edge1,cloud1,1048576,1938,1938,1855,1322,97,350,84,1320,83
n05e35iI0kqmLbv4DmspqQ==,none,null,null,0,0,0,0,0,0,0,0,0,0
+Ah5l4bHi0+wSY09PT6dxA==,local,null,null,0,1031,1027,1009,14,33,935,0,10,20
AyU+iSyZvkCBSUeQUhHP9g==,none,null,null,0,0,0,0,0,0,0,0,0,0
gG9Wx07O90uDwT/jGYzhjw==,none,null,null,0,0,0,0,0,0,0,0,0,0
ygO46sowckyiWBcf6v9OJg==,remote,edge2,cloud1,1048576,1505,1505,1423,777,95,461,89,775,87
R7OszSUkbEim67/29ifhCw==,local,null,null,0,507,506,488,9,24,434,0,5,18
lFhLvg5KAUCUvY2HGZ/Aag==,local,null,null,0,896,895,892,22,36,799,0,19,8
CyWDGZC16Eal8VQkzi3T+g==,remote,edge1,cloud1,1048576,1475,1474,1393,819,99,382,82,817,84
3FdxH59PVUiyUqBSveNf5g==,local,null,null,0,858,857,828,38,50,713,0,32,19
9iJpXS/1nUS4Ai852mheGg==,local,null,null,0,745,745,706,21,28,613,0,9,19
89/jYVrqiky6j2JBk7l8dQ==,local,null,null,0,888,887,864,13,58,757,0,11,21
CCJvi8vnpU+rIGl4KGLcpQ==,remote,edge2,cloud1,1048576,1510,1509,1427,767,103,469,84,766,83
saPWAas3g0SyQvUBVbChPg==,remote,edge1,cloud1,1048576,1569,1568,1482,814,91,491,82,814,82
30NVncddTEK3iQ54ozJbRQ==,local,null,null,0,1063,1062,1082,21,54,911,0,14,19
