tId,dataPullType,FromZone,ToZone,DataSize,TotalDuration,TriggerStepClientDuration,TriggerStepServerDuration,DataPullDuration,DataPushDuration,ComputeDuration,DataMasterPullCall,DataPeerPullCall,DataMasterPushCall
9QkpgHL7NEaKoVuA8z20VQ==,local,null,null,0,95,94,59,2,33,54,0,0,21
5bvBG2SFS0qnOQDGdl9CAQ==,local,null,null,0,85,85,47,5,19,40,0,0,17
17JyVR31406ZceQUw/bhXQ==,none,null,null,0,0,0,0,0,0,0,0,0,0
4+MYZ4KGbESgTU2x824mtg==,local,null,null,0,90,90,56,5,23,47,0,2,17
dbvk+nfmKEWlBxUNFZPoVg==,local,null,null,0,84,83,49,5,19,42,0,1,17
3foC9W6N4UiFZhzgYYX+PA==,none,null,null,0,0,0,0,0,0,0,0,0,0
SbAkltQswUaducftCBK/8w==,none,null,null,0,1,0,0,0,0,0,0,0,0
BieQCVpNG0WJ9yi+I9WT2g==,local,null,null,0,94,92,54,5,19,46,0,3,17
sQYexG//WEuW2Y3azR+n6g==,local,null,null,0,98,98,63,6,25,55,0,1,18
HQnDNO/O3E2idIMiRmDZQA==,none,null,null,0,0,0,0,0,0,0,0,0,0
4WCryPbT8UybURILk1/mkQ==,local,null,null,0,84,83,48,1,20,39,0,1,17
eSfpFmXw7kKWeKzJ3t0dBQ==,none,null,null,0,0,0,0,0,0,0,0,0,0
JLBHiRUdw0Ct7GoYEre6Hw==,none,null,null,0,0,0,0,0,0,0,0,0,0
Dw+MP64gl0+hvu3i4CMrLw==,local,null,null,0,89,88,54,5,19,47,0,1,17
W61KkLcJREWZfnEInUrxmg==,none,null,null,0,1,0,0,0,0,0,0,0,0
cbTV78TyRkms5oWAgnr+Kw==,local,null,null,0,103,103,69,2,24,65,0,1,17
uvRbPI5KlE2KW9R0HlU14w==,none,null,null,0,1,0,0,0,0,0,0,0,0
DwOOtOzR4E+zF9SJJpmZWg==,none,null,null,0,0,0,0,0,0,0,0,0,0
xjV8e+TnY0a9qj/aRn7s4Q==,none,null,null,0,0,0,0,0,0,0,0,0,0
JQjl9g79XUeV6QQsgt+6ZQ==,local,null,null,0,84,83,48,4,20,42,0,1,17
