tId,dataPullType,FromZone,ToZone,DataSize,TotalDuration,TriggerStepClientDuration,TriggerStepServerDuration,DataPullDuration,DataPushDuration,ComputeDuration,DataMasterPullCall,DataPeerPullCall,DataMasterPushCall
ZRmKBQPYekCiSRooVCpK9g==,none,null,null,0,1,0,0,0,0,0,0,0,0
+7jjGuM4xUGHvodzPdFqdA==,none,null,null,0,0,0,0,0,0,0,0,0,0
2FKW+DeNSk2TuhYp6dGbCg==,remote,cloud1,cloud1,1024,1110,1109,1025,443,53,437,129,305,18
ObPHpYnL+kGZ3dpyZ6gBvw==,remote,cloud1,cloud1,1024,148,147,129,26,74,101,17,23,17
zJFtqzppLEWozd7lPr02LQ==,remote,cloud1,cloud1,1024,101,101,82,27,30,54,17,23,21
0CQAOnjV80SQiE9XjEFRyQ==,none,null,null,0,0,0,0,0,0,0,0,0,0
sStCy7/5WEKSj4KeNR66cw==,none,null,null,0,0,0,0,0,0,0,0,0,0
TLSrkQFtB06fLSBut33E8Q==,remote,cloud1,cloud1,1024,117,116,98,24,40,70,18,22,17
pm6BO4yLRkygJznocKGcIg==,none,null,null,0,0,0,0,0,0,0,0,0,0
WuNQ0DrA5kevIcYiQQz8eA==,remote,cloud1,cloud1,1024,100,100,80,24,25,50,17,23,17
r6OLTf6G/Eq15DI4aBrjhg==,remote,cloud1,cloud1,1024,96,96,76,27,25,47,20,25,17
PgPIxnTIgk2naKBY8bmIDA==,none,null,null,0,0,0,0,0,0,0,0,0,0
hJNmBnHhAkunSfb0vgMluA==,none,null,null,0,1,0,0,0,0,0,0,0,0
0o4gHX6cD0un8xTFtxrQAw==,remote,cloud1,cloud1,1024,126,124,106,30,38,70,17,22,17
t0d6VRp8N0+sLznjYRbyGw==,remote,cloud1,cloud1,1024,125,124,106,25,39,74,17,22,17
qU71+bCNZkCqtqXJbMnOpQ==,none,null,null,0,0,0,0,0,0,0,0,0,0
3ECPVJQxdE6/jF+OQkOtdQ==,none,null,null,0,0,0,0,0,0,0,0,0,0
a5x9b2njUEeDCYF6wxSexw==,remote,cloud1,cloud1,1024,95,95,77,22,21,52,17,21,17
0xKj18jYskS7BEXkH4j/Ug==,none,null,null,0,0,0,0,0,0,0,0,0,0
7yIlBMnNFEKbctzifUsa6A==,remote,cloud1,cloud1,1024,145,145,117,42,36,72,23,37,18
