tId,dataPullType,FromZone,ToZone,DataSize,TotalDuration,TriggerStepClientDuration,TriggerStepServerDuration,DataPullDuration,DataPushDuration,ComputeDuration,DataMasterPullCall,DataPeerPullCall,DataMasterPushCall
RjGbA3NPREeDhqcLdc7cqg==,local,null,null,0,81,80,47,2,21,43,0,1,19
OkFkh8h2DUSTj9d3/iCReQ==,none,null,null,0,0,0,0,0,0,0,0,0,0
7AJ0kZsZ2kGCYVKtOEVkcQ==,remote,edge1,cloud1,1048576,1691,1690,1046,998,19,46,17,307,16
otWQ2dIGI0G3pQqxJ9HFyQ==,remote,edge1,cloud1,1048576,1973,1972,1385,318,23,46,16,316,17
iw+WFp+z3UGmc0KOsl5XZA==,remote,edge1,cloud1,1048576,470,470,432,366,29,64,19,365,21
rpdgV3QolEik9hMwAvttIw==,none,null,null,0,0,0,0,0,0,0,0,0,0
g4jkJB1+20yOdwF50MC+Kg==,local,null,null,0,82,81,48,2,21,44,0,1,18
+yTDe8+CfEmcpuRVRgUVxw==,remote,cloud1,cloud1,1048576,129,127,94,49,21,42,17,48,17
oWZt0SDegk681X+Q/Tb6hw==,remote,edge1,cloud1,1048576,420,418,384,339,20,44,17,337,16
GHz7DLc/4EuKE73FV31xhg==,local,null,null,0,131,128,115,6,18,101,0,11,1
5uX9JH3SQ06QbcaKTpDdoQ==,remote,edge1,cloud1,1048576,487,484,447,376,32,66,18,365,24
KKHB6164DES0xtt15/mh9w==,remote,cloud1,edge1,1048576,382,381,378,350,9,26,1,348,1
0DpAYnUlN0Gah+QGctSkFA==,remote,edge1,cloud1,1048576,415,413,362,318,20,43,17,314,17
lPu1CLg+Pkutmgus4wCuFA==,remote,edge1,cloud1,1048576,440,438,404,354,21,47,19,352,19
2ftT1gcy/0aB6kr1bqkamw==,none,null,null,0,0,0,0,0,0,0,0,0,0
XRCt0ad4F0u90BbEeGqnhQ==,remote,edge1,edge1,1048576,1808,1803,1800,785,991,1004,3,60,2
ETvO3wojQE2XujJJZQq3jg==,local,null,null,0,124,117,99,24,23,63,0,15,5
ijEnoEZbpEyof36/mGKa1w==,none,null,null,0,0,0,0,0,0,0,0,0,0
S6eMTYHWhkKFxK5FwFo/Xg==,local,null,null,0,1884,1883,1848,3,1815,1842,0,3,17
3Z9I5Y+J50WScc+wSmxoAg==,remote,cloud1,edge1,1048576,1934,1931,1929,1913,5,13,2,329,1
k4MujNGjTEy4g3rgn5hgDQ==,remote,cloud1,cloud1,1048576,703,702,668,50,572,612,17,48,18
xzTiFin5fkWcGSxfzKorJA==,remote,edge1,edge1,1048576,1771,1768,1739,1725,5,11,8,46,1
