tId,dataPullType,FromZone,ToZone,DataSize,TotalDuration,TriggerStepClientDuration,TriggerStepServerDuration,DataPullDuration,DataPushDuration,ComputeDuration,DataMasterPullCall,DataPeerPullCall,DataMasterPushCall
SPte/06Wp06cBB9Wkj51xQ==,none,null,null,0,0,0,0,0,0,0,0,0,0
POeWRKU+9UyoWwVvIOIF7Q==,none,null,null,0,0,0,0,0,0,0,0,0,0
mLRUOgK/2EetX5P6v5+5sg==,local,null,null,0,21,21,19,4,3,12,0,2,0
bSByp3z+ake99YmyfhGEuQ==,local,null,null,0,48,48,40,8,11,26,0,3,1
cIw5T0l6p0awrBloXFBSJQ==,local,null,null,0,60,60,54,5,8,48,0,1,1
xTjIsPy7nU2akis3K6tIuw==,local,null,null,0,23,22,21,2,4,14,0,1,0
h+KWcvWP1UKauGNeMNm+/g==,local,null,null,0,41,40,38,7,5,24,0,6,1
TbrzUWX990yl+xw2GNsB7Q==,none,null,null,0,0,0,0,0,0,0,0,0,0
PYUWFtFGxUeU+Ql6dLvwEw==,local,null,null,0,56,55,52,1,40,49,0,2,2
6xiWqJYD1k+tkYZcSd5jaw==,remote,edge1,cloud1,1048576,106,87,74,61,3,11,3,61,0
ysm7M6atdU+voeLWX3qnfQ==,none,null,null,0,0,0,0,0,0,0,0,0,0
m22sUIhiyk+GTHSHbxqZgQ==,local,null,null,0,58,55,49,9,6,39,0,7,1
UT7ksQ2KZUG6SgC5fyFE8w==,remote,edge1,cloud1,1048576,72,65,62,42,7,18,2,41,1
L3a4WbkGEUyzZVEnlEYfrw==,none,null,null,0,1,0,0,0,0,0,0,0,0
OC0StVPO1EKd5vNYuKqTdA==,local,null,null,0,46,31,16,2,2,11,0,0,0
Ibw0+zCgJU6RFRfdhqNgmg==,local,null,null,0,25,24,22,13,4,8,0,15,1
LY0fBtdHCUq5vlIAvu5VaA==,local,null,null,0,91,91,87,65,4,19,0,56,1
ZguQttcLiUaOHCz1++KD2Q==,local,null,null,0,44,35,34,16,8,16,0,7,4
yOBuo+heo0aGtIYjSyOVlw==,local,null,null,0,60,51,47,4,8,37,0,3,1
0Ssb+ab4hUaIV33Ct/uwhg==,local,null,null,0,47,46,45,10,7,34,0,6,1
RVKZHnM+dUGTRGmuzL5+NA==,none,null,null,0,0,0,0,0,0,0,0,0,0
psHgVSSABE2vekSFBARsEQ==,none,null,null,0,0,0,0,0,0,0,0,0,0
FMRR9vHfqUCkrvqXi6ih2A==,local,null,null,0,16,14,12,3,3,7,0,1,0
UPw6Lzbf10St+dbiZTkLfA==,none,null,null,0,0,0,0,0,0,0,0,0,0
Vf/ev1WzVEKO7KRGk9cGPw==,local,null,null,0,85,78,77,6,29,55,0,2,1
E98vr96Hr0WLUDirfvJzBw==,none,null,null,0,18,0,0,0,0,0,0,0,0
jVgQzXnJN0KQUhQeK/cbhQ==,local,null,null,0,26,23,21,2,7,16,0,2,2
38uEsytS90GI69bv0jLipA==,remote,edge1,cloud1,1048576,106,105,101,56,2,42,1,33,0
/MjynkQ4ik64P6EpG8YDug==,local,null,null,0,57,55,48,2,8,43,0,1,1
uPZNXhQqrU+N1vPt0TdHiA==,local,null,null,0,28,27,26,5,10,19,0,1,1
51FP7n4K2UyxkQ2BnFZ16A==,remote,edge1,edge1,1048576,136,135,135,79,4,54,0,73,1
1xV7q5fXREWIFisLAXzZ3A==,local,null,null,0,42,32,28,10,7,14,0,2,2
HEltsMJzTUG1FtWAu85VHA==,local,null,null,0,47,38,37,5,7,21,0,2,0
4EyuXSE6OkOWlu/9ceRzzQ==,local,null,null,0,26,25,16,2,5,9,0,1,1
/GtM6fAK6UWRPUn9iFP2ww==,local,null,null,0,30,29,23,4,4,16,0,1,1
Uig4rRmmX0COk7ec/a2mdQ==,local,null,null,0,63,63,47,20,4,24,0,4,2
bek3hf6IIk6wJDUTk3eZWA==,local,null,null,0,45,35,32,7,11,24,0,4,2
ly+UeA8KfkuQM8mS2XbdIA==,local,null,null,0,86,79,63,6,37,49,0,2,1
JWVM5TmLvEyBG9lZ7QDCjg==,none,null,null,0,0,0,0,0,0,0,0,0,0
Gd0yNVnHt0irOTyqGg+YYg==,remote,edge1,cloud1,1048576,24,24,22,16,2,4,0,16,0
LafBco1tmkOyug/OrPxW6A==,local,null,null,0,42,35,35,2,8,30,0,2,2
lc1TrJ/7c0qWLpZH1Fe+vw==,local,null,null,0,50,47,33,9,15,22,0,3,0
sT9lbmxob0m/xk4dqcP+Ww==,local,null,null,0,37,37,31,5,8,24,0,1,5
MfZOpa/LSEW+f1n7zMLDKQ==,remote,edge1,cloud1,1048576,71,63,61,35,5,15,1,35,1
